The collocation tendency of ZAI with different situation types,,
Verbs,Situation Type,ZHE
换,Activity,19
捣,Activity,4
捧,Activity,400
捻,Activity,35
掀,Activity,18
掉,Activity,9
掌握,Activity,38
掏,Activity,8
掐,Activity,14
排,Activity,49
排列,Activity,30
掘,Activity,5
探,Activity,28
探望,Activity,2
接受,Activity,10
接待,Activity,5
控制,Activity,47
控诉,Activity,2
推,Activity,158
掩护,Activity,19
掩盖,Activity,9
掩饰,Activity,1
掰,Activity,1
掸,Activity,4
揉,Activity,94
描,Activity,2
描写,Activity,4
提,Activity,449
提议,Transition,2
提醒,Activity,20
提高,Transition,4
插,Activity,112
握,Activity,407
握紧,Transition,2
揭,Activity,3
揭开,Transition,1
搀,Activity,69
搁,Activity,29
搂,Activity,143
搅,Activity,11
搅乱,Transition,2
搓,Activity,53
搜查,Activity,1
搬,Activity,22
搭,Activity,77
摆,Activity,295
摆平,Transition,1
摇,Activity,373
摇晃,Activity,87
摊,Activity,8
摔,Activity,6
摘,Activity,6
摸,Activity,304
撒,Activity,14
撕,Activity,17
撕碎,Transition,2
撕裂,Transition,10
撞,Activity,2
撵,Activity,20
操心,Activity,4
操纵,Activity,3
擦,Activity,265
攀,Activity,2
支持,Activity,48
支配,State,17
收,Activity,35
收拾,Activity,29
收获,Activity,1
改,Transition,5
改变,Transition,19
改善,Transition,1
改正,Transition,1
改进,Transition,1
改造,Activity,1
攻击,Activity,1
放,Activity,389
教,Activity,7
教育,Activity,3
敞开,Transition,34
散,Activity,35
散布,Activity,15
敬,Activity,11
数,Activity,43
敲,Activity,213
斗,Activity,1
斗争,Activity,16
旋转,Activity,37
昏迷,Activity,1
晒,Activity,36
晾,Activity,5
替换,Transition,2
有,State,229
望,Activity,3850
杀,Activity,1
来,Transition,73
来往,Activity,3
松,Activity,3
松开,Transition,1
染,Activity,16
查,Activity,4
标志,State,226
校对,Activity,2
校正,Activity,1
栽,Activity,13
梳,Activity,82
检查,Activity,9
检讨,Activity,1
欠,Activity,24
欢迎,Activity,3
欣赏,Activity,42
欺骗,Activity,3
歇,Activity,52
死,Transition,4
比较,Activity,13
求,Activity,20
沉,Activity,10
治,Activity,2
沾,Activity,32
沾满,Transition,1
泄露,Transition,2
泡,Activity,16
注意,Activity,38
洒,Activity,16
洗,Activity,30
活,State,576
活动,Activity,18
派,Transition,1
流,Activity,221
流传,Activity,34
流动,Activity,17
流行,State,4
流露,Activity,3
浇,Activity,8
测量,Activity,2
浮满,Transition,1
浸湿,Transition,1
浸透,Transition,1
涂,Activity,34
涂满,Transition,1
消灭,Transition,2
淋,Activity,9
混,Activity,26
淹,Activity,1
添,Activity,6
清理,Activity,11
渗,Activity,1
游,Activity,16
滚,Activity,47
滴落,Transition,3
漏,Activity,1
演,Activity,6
炒,Activity,3
点,Activity,306
炼,Activity,2
烤,Activity,16
烧,Activity,39
烧满,Transition,1
烫,Activity,14
热爱,State,8
煎,Activity,4
照,Activity,138
照亮,Transition,3
照料,Activity,3
照顾,Activity,17
煮,Activity,12
熬,Activity,13
爬,Activity,40
爱,State,72
牵,Activity,283
牺牲,Transition,1
犯,Activity,9
猜,Activity,31
献,Activity,2
率领,Activity,1
玩,Activity,2
玩耍,Activity,1
理,Activity,10
琢磨,Activity,28
生,Activity,65
生活,State,36
生长,State,16
用,Activity,46
画,Activity,82
留,Activity,394
疼,State,1
病,Activity,6
登,Activity,24
监督,Activity,14
盖,Activity,126
盘问,Activity,3
盛,Activity,74
盯,Activity,781
相信,State,4
盼,State,112
盼望,State,68
看,Activity,4062
睁大,Transition,4
睁开,Transition,2
睡,Activity,200
督促,Activity,5
瞎,State,1
砍,Activity,5
研究,Activity,20
破,Activity,1
破坏,Transition,2
砸,Activity,9
确定,Transition,1
碰,Activity,44
碾,Activity,4
磕,Activity,17
磨,Activity,10
种,Activity,35
称,Activity,4
称赞,Activity,14
移动,Activity,48
穿,Activity,969
立,Activity,103
站,Activity,967
站满,Transition,1
端,Activity,345
笑,Activity,3834
等,Activity,1460
等候,Activity,76
等待,Activity,244
答应,Activity,74
筛,Activity,1
筹备,Activity,3
签,Activity,2
算,Activity,16
算计,Activity,4
管,Activity,65
管理,Activity,1
糊,Activity,12
糟蹋,Activity,1
纠正,Activity,2
纪念,Activity,3
练,Activity,4
练习,Activity,5
织,Activity,8
经受,Activity,8
绑,Activity,38
结合,Activity,6
绕,Activity,135
绣,Activity,47
维护,Activity,10
维持,Activity,39
编,Activity,11
缝,Activity,18
缠,Activity,74
缩,Activity,40
缩紧,Transition,1
缺,State,5
羡慕,State,9
翻,Activity,152
翻开,Transition,1
考虑,Activity,35
考验,Activity,5
耽误,Activity,1
联合,Activity,1
联系,Activity,20
肿,Activity,4
背,Activity,170
脱,Activity,14
腾,Activity,1
舔,Activity,6
花,Activity,3
落,Activity,41
蒙蔽,State,3
蒸,Activity,2
藏,State,120
蘸,Activity,20
补,Activity,9
补充,Transition,16
表演,Activity,5
表示,Activity,42
表达,Activity,15
裂,Transition,2
裂开,Transition,1
装,Activity,285
装满,Transition,2
裹,Activity,87
要求,State,16
