The usage of ZAI and ZHENGZAI in the periods during the Yuan Dynasty and the Ming Dynasty ,,,
Verbs,Time,ZAI,ZHENGZAI
监禁,the Qing Dynasty,1,0
绞痛,the Qing Dynasty,1,0
叫,the Qing Dynasty,1,0
叫唤,the Qing Dynasty,1,0
接近这个人,the Qing Dynasty,1,0
惊讶,the Qing Dynasty,1,0
静领,the Qing Dynasty,1,0
开门,the Qing Dynasty,1,0
开杀戒,the Qing Dynasty,1,0
欬笑,the Qing Dynasty,1,0
流泪,the Qing Dynasty,1,0
骂,the Qing Dynasty,1,0
拿他的子孙,the Qing Dynasty,1,0
难保,the Qing Dynasty,1,0
盘算,the Qing Dynasty,1,0
盼望,the Qing Dynasty,1,0
彷徨,the Qing Dynasty,1,0
陪伴,the Qing Dynasty,1,0
披衣,the Qing Dynasty,1,0
辟邪,the Qing Dynasty,1,0
搳拳吃酒,the Qing Dynasty,1,0
谦让,the Qing Dynasty,1,0
虔修,the Qing Dynasty,1,0
请客,the Qing Dynasty,1,0
辱骂,the Qing Dynasty,1,0
散落,the Qing Dynasty,1,0
伤感,the Qing Dynasty,1,0
商量,the Qing Dynasty,1,0
审讯,the Qing Dynasty,1,0
守制,the Qing Dynasty,2,0
受礼,the Qing Dynasty,1,0
受罪,the Qing Dynasty,1,0
梳洗,the Qing Dynasty,1,0
睡觉,the Qing Dynasty,1,0
说打仗的事情,the Qing Dynasty,1,0
说我,the Qing Dynasty,1,0
送性命,the Qing Dynasty,1,0
算计商客,the Qing Dynasty,1,0
算计他的指法、调头,the Qing Dynasty,1,0
探访,the Qing Dynasty,2,0
逃,the Qing Dynasty,39,0
啼哭,the Qing Dynasty,2,0
跳舞不休,the Qing Dynasty,1,0
听讲解经书,the Qing Dynasty,1,0
偷看双人,the Qing Dynasty,1,0
投揭,the Qing Dynasty,1,0
戏耍筋斗、虎跳,the Qing Dynasty,1,0
系恋着他,the Qing Dynasty,1,0
下棋,the Qing Dynasty,1,0
闲坐吃茶,the Qing Dynasty,1,0
羡慕江南好地方,the Qing Dynasty,1,0
相候,the Qing Dynasty,2,0
想,the Qing Dynasty,1,0
嘘气,the Qing Dynasty,1,0
絮叨,the Qing Dynasty,2,0
悬悬,the Qing Dynasty,1,0
掩着,the Qing Dynasty,1,0
演习,the Qing Dynasty,1,0
摇头,the Qing Dynasty,1,0
依恋,the Qing Dynasty,1,0
疑惑,the Qing Dynasty,1,0
疑虑,the Qing Dynasty,1,0
议论,the Qing Dynasty,1,0
应考,the Qing Dynasty,1,0
迎面直打,the Qing Dynasty,1,0
犹疑,the Qing Dynasty,1,0
犹豫,the Qing Dynasty,3,0
游疑,the Qing Dynasty,1,0
御,the Qing Dynasty,8,0
责骂,the Qing Dynasty,1,0
招手,the Qing Dynasty,1,0
照顾我,the Qing Dynasty,1,0
整饬文风,the Qing Dynasty,1,0
追杀小和尚,the Qing Dynasty,1,0
追杀逃走的喽罗,the Qing Dynasty,1,0
追问这事的结果,the Qing Dynasty,1,0
捉他儿子,the Qing Dynasty,1,0
趑趄,the Qing Dynasty,1,0
作法,the Qing Dynasty,1,0
作呻吟,the Qing Dynasty,1,0
作书,the Qing Dynasty,1,0
做沽名钓誉的人,the Qing Dynasty,1,0
做官,the Qing Dynasty,1,0
做梦,the Qing Dynasty,1,0
做什么,the Qing Dynasty,1,0
怀疑他是否有造化,the Qing Dynasty,1,0
含羞,the Qing Dynasty,1,0
建造,the Qing Dynasty,1,0
游移两可,the Qing Dynasty,1,0
不甚清楚,the Qing Dynasty,1,0
未睡,the Qing Dynasty,2,0
画那弧度,the Qing Dynasty,1,0
未定,the Qing Dynasty,1,0
未废,the Qing Dynasty,1,0
结草,the Qing Dynasty,1,0
言,the Qing Dynasty,1,0
御蚊,the Qing Dynasty,1,0
足蠕,the Qing Dynasty,1,0
希冀,the Qing Dynasty,1,0
教,the Qing Dynasty,1,0
犹豫,the Qing Dynasty,2,0
确酌,the Qing Dynasty,1,0
铺张,the Qing Dynasty,1,0
饮酒,the Qing Dynasty,1,0
观察,the Qing Dynasty,1,0
索人愁,the Qing Dynasty,1,0
煮,the Qing Dynasty,1,0
误桃花,the Qing Dynasty,1,0
商確,the Qing Dynasty,2,0
经过,the Qing Dynasty,1,0
秉烛,the Qing Dynasty,1,0
变通,the Qing Dynasty,1,0
藏躱,the Qing Dynasty,1,0
仰慕,the Qing Dynasty,1,0
保守四城,the Qing Dynasty,1,0
打叠衣箱,the Yuan Dynasty,0,1
攻书,the Yuan Dynasty,0,1
观看,the Yuan Dynasty,0,1
寻思一计,the Yuan Dynasty,0,1
疑虑,the Yuan Dynasty,0,1
烦恼,the Yuan Dynasty,0,2
偎倚,the Yuan Dynasty,0,1
哀痛,the Ming Dynasty,0,2
安抚料理,the Ming Dynasty,0,1
鏖战,the Ming Dynasty,0,1
摆布,the Ming Dynasty,0,2
奔走,the Ming Dynasty,0,1
猜疑,the Ming Dynasty,0,1
参究,the Ming Dynasty,0,1
操练,the Ming Dynasty,0,1
策划,the Ming Dynasty,0,1
诧异,the Ming Dynasty,0,1
沉吟,the Ming Dynasty,0,6
吃个合卺之酒,the Ming Dynasty,0,1
吃醋,the Ming Dynasty,0,1
吃早饭,the Ming Dynasty,0,1
吃完了饭,the Ming Dynasty,0,1
迟疑,the Ming Dynasty,0,3
愁烦,the Ming Dynasty,0,2
筹度,the Ming Dynasty,0,1
踌躇,the Ming Dynasty,0,11
踌躇不下,the Ming Dynasty,0,1
踌躇不定,the Ming Dynasty,0,1
踌躇费想,the Ming Dynasty,0,1
传观,the Ming Dynasty,0,1
催兵前进,the Ming Dynasty,0,2
打叠衣箱,the Ming Dynasty,0,2
打射,the Ming Dynasty,0,1
打听宝船转来,the Ming Dynasty,0,1
打坐,the Ming Dynasty,0,1
大排素宴,the Ming Dynasty,0,1
调兵,the Ming Dynasty,0,1
调遣人马,the Ming Dynasty,0,1
烦恼,the Ming Dynasty,0,4
飞行,the Ming Dynasty,0,1
负屈,the Ming Dynasty,0,1
感怆,the Ming Dynasty,0,2
感梦,the Ming Dynasty,0,1
高兴,the Ming Dynasty,0,2
耕田,the Ming Dynasty,0,1
攻打城池,the Ming Dynasty,0,1
攻打,the Ming Dynasty,0,1
关粮,the Ming Dynasty,0,1
观看,the Ming Dynasty,0,1
观看山景,the Ming Dynasty,0,1
酣战,the Ming Dynasty,0,2
鼾睡,the Ming Dynasty,0,1
胡思乱想,the Ming Dynasty,0,2
欢喜,the Ming Dynasty,0,5
欢饮,the Ming Dynasty,0,1
慌张,the Ming Dynasty,0,2
缉访妖人,the Ming Dynasty,0,1
计议,the Ming Dynasty,0,2
讲这南船入岛的事故,the Ming Dynasty,0,1
讲话,the Ming Dynasty,0,2
嗟叹,the Ming Dynasty,0,2
劫寨,the Ming Dynasty,0,1
惊讶,the Ming Dynasty,0,2
勒马巡河,the Ming Dynasty,0,1
擂鼓,the Ming Dynasty,0,1
料理军务,the Ming Dynasty,0,2
忙乱,the Ming Dynasty,0,1
纳闷,the Ming Dynasty,0,3
恼怒,the Ming Dynasty,0,1
闹吵,the Ming Dynasty,0,1
念诵,the Ming Dynasty,0,2
捏神捣鬼,the Ming Dynasty,0,1
